min_val_loss,at_epoch_val,min_train_loss,at_epoch_train,num_model_params,num_mult_adds,rp_emb_dim,cond_emb_dim,hidden_dim1,hidden_dim2,hidden_dim3,hidden_dim4,latent_dim,dc_enc_dim,activation,sparsity,sparsity_scheduler,train_time_in_min,batch_size,epochs,lr,beta1,beta2,kld_weight,weight_decay
17.6173,401,5.7329,606,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.2,None,0.89,64,700,0.001,0.5,0.8,0.7,0.1
17.3826,417,4.8923,695,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.1,None,1.0,64,700,0.001,0.5,0.8,0.7,0.1
18.0217,337,6.7156,689,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.3,None,0.84,64,700,0.001,0.5,0.8,0.7,0.1
18.0637,581,7.3577,689,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.4,None,0.91,64,700,0.001,0.5,0.8,0.7,0.1
10.5514,688,7.5064,630,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,None,0.28,64,700,0.001,0.5,0.8,0.7,0.1
9.3684,1880,5.1527,1856,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,None,0.26,64,2000,0.001,0.5,0.8,0.7,0.1
9.2728,2424,4.9467,2965,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,None,0.29,64,3000,0.001,0.5,0.8,0.7,0.1
14.0964,4765,5.6616,4065,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,None,0.0,64,5000,0.001,0.5,0.8,0.5,0.1
14.9535,3157,8.5355,4666,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.7,None,0.0,64,5000,0.001,0.5,0.8,0.5,0.1
9.7465,2607,6.3994,4666,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.7,None,0.2,64,5000,0.001,0.5,0.8,0.7,0.1
15.1273,418,2.5172,4899,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,,6.35,64,5000,0.001,0.5,0.8,0.7,0.1
15.1273,418,2.8662,1975,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,,2.27,64,2000,0.001,0.5,0.8,0.7,0.1
10.4231,1998,9.139,1999,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,2000,0.001,0.5,0.8,0.7,0.1
10.4231,1998,9.139,1999,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,2000,0.001,0.5,0.8,0.7,0.1
9.0332,1972,7.2636,1822,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,2000,0.001,0.5,0.8,0.7,0.1
9.0332,1972,7.2636,1822,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,2000,0.001,0.5,0.8,0.7,0.1
8.0813,4292,6.1516,4698,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,5000,0.001,0.5,0.8,0.7,0.1
8.0813,4292,6.1516,4698,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,5000,0.001,0.5,0.8,0.7,0.1
8.0813,4292,6.1516,4698,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,,0.0,64,5000,0.001,0.5,0.8,0.7,0.1
8.8044,1136,3.9184,4736,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.StepSpars'>,5.34,64,5000,0.001,0.5,0.8,0.7,0.1
9.5575,549,3.4165,4887,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.StepSpars'>,6.0,64,5000,0.001,0.5,0.8,0.7,0.1
8.7425,946,3.686,4887,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.StepSpars'>,4.71,64,5000,0.001,0.5,0.8,0.7,0.1
11.3622,985,10.6593,958,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
11.3622,985,10.6593,958,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
9.4901,543,4.2978,993,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.StepSpars'>,1.36,64,1000,0.001,0.5,0.8,0.7,0.1
8.7916,995,7.0409,983,112689,5272896,74,11,100,100,100,100,11,6,SELU(),1.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
8.7915,971,5.7978,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.31,64,1000,0.001,0.5,0.8,0.7,0.1
8.7915,971,5.7978,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.33,64,1000,0.001,0.5,0.8,0.7,0.1
8.7915,971,5.7978,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.31,64,1000,0.001,0.5,0.8,0.7,0.1
8.7915,971,5.7978,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.32,64,1000,0.001,0.5,0.8,0.7,0.1
8.7915,971,5.7978,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.31,64,1000,0.001,0.5,0.8,0.7,0.1
8.7915,971,5.7978,959,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,0.31,64,1000,0.001,0.5,0.8,0.7,0.1
16.1224,151,3.8219,991,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,1.28,64,1000,0.001,0.5,0.8,0.7,0.1
8.5807,999,5.3733,912,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.4,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
8.511,996,6.3444,818,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.0,64,1000,0.001,0.5,0.8,0.7,0.1
10.7493,403,3.9032,938,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,<class 'modules.sparsity_scheduler.StepSpars'>,1.38,64,1000,0.001,0.5,0.8,0.7,0.1
9.8323,669,4.1035,995,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.8,<class 'modules.sparsity_scheduler.StepSpars'>,1.25,64,1000,0.001,0.5,0.8,0.7,0.1
