B1_x,B1_y,H1_x,H1_y,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,E1_x,E1_y,F1_x,F1_y,G_x,G_y,H_x,H_y,I_x,I_y,H2_x,H2_y,B4_x,B4_y,J_x,J_y,B3_x,B3_y,B2_x,B2_y,S1_x,S1_y,SRP1_x,SRP1_y,S2_x,S2_y,SRP2_x,SRP2_y,manufacturer,type,class,buzzwords,drag_coeff
-378.0,-121.0,-784.0,-83.0,-812.0,247.0,-719.0,474.0,105.0,713.0,905.0,1089.0,1773.0,1188.0,2320.0,1167.0,2853.0,1059.0,3183.0,758.0,3253.0,635.0,3339.0,154.0,3204.0,-17.0,2922.0,-63.0,2538.0,0.0,2177.0,-107.0,368.0,-129.0,503.0,-21.0,1319.0,264.0,1556.0,-64.0,2082.0,280.0,0,0,0,0;2;5,0.33316857
-299.0,-149.0,-621.0,-125.0,-775.0,248.0,-706.0,376.0,88.0,691.0,885.0,1059.0,1548.0,1143.0,2392.0,1094.0,2629.0,1015.0,3014.0,683.0,3113.0,520.0,3189.0,161.0,3163.0,-40.0,2923.0,-43.0,2539.0,0.0,2183.0,-135.0,361.0,-137.0,486.0,-33.0,1314.0,243.0,1611.0,-66.0,2084.0,250.0,0,1,0,0;1;13,0.3159599
-299.0,-133.0,-618.0,-108.0,-775.0,265.0,-708.0,378.0,89.0,706.0,886.0,1073.0,1572.0,1156.0,2382.0,1108.0,2630.0,1028.0,3014.0,696.0,3113.0,542.0,3189.0,178.0,3167.0,-24.0,2922.0,-30.0,2540.0,0.0,2183.0,-122.0,361.0,-122.0,485.0,-17.0,1314.0,258.0,1586.0,-59.0,2084.0,263.0,0,1,0,0;1;13,0.32202566
-340.0,-108.0,-521.0,-112.0,-703.0,-33.0,-642.0,376.0,20.0,668.0,790.0,1116.0,1423.0,1191.0,2034.0,1156.0,2238.0,1081.0,2526.0,752.0,2763.0,557.0,2844.0,139.0,2778.0,-22.0,2675.0,-48.0,2302.0,0.0,1953.0,-128.0,347.0,-128.0,466.0,-17.0,1257.0,292.0,1613.0,-54.0,1930.0,289.0,1,1,0,0;1;8,0.3558636
-356.0,-170.0,-775.0,-141.0,-829.0,200.0,-745.0,482.0,48.0,762.0,700.0,1211.0,1692.0,1339.0,2445.0,1317.0,2867.0,1217.0,3172.0,857.0,3269.0,747.0,3318.0,125.0,3223.0,-23.0,2972.0,-72.0,2615.0,0.0,2254.0,-143.0,367.0,-143.0,515.0,-6.0,1259.0,352.0,1533.0,2.0,2068.0,408.0,1,2,0,0;2;7,0.37054053
-364.0,-118.0,-786.0,-86.0,-830.0,237.0,-688.0,580.0,51.0,783.0,705.0,1228.0,1764.0,1348.0,2419.0,1328.0,3201.0,1210.0,3394.0,855.0,3479.0,748.0,3523.0,204.0,3502.0,60.0,3019.0,-95.0,2612.0,0.0,2250.0,-133.0,359.0,-133.0,513.0,13.0,1260.0,366.0,1548.0,15.0,2048.0,417.0,1,2,0,0;2;7,0.3543496
-535.0,-143.0,-741.0,-124.0,-807.0,30.0,-748.0,374.0,177.0,641.0,803.0,1013.0,1555.0,1103.0,2272.0,1050.0,2449.0,978.0,2887.0,702.0,3063.0,552.0,3146.0,205.0,3077.0,-37.0,2779.0,-85.0,2465.0,0.0,2108.0,-143.0,359.0,-143.0,462.0,-61.0,1299.0,198.0,1584.0,-89.0,2028.0,230.0,2,1,0,1;3;5,0.29881042
-538.0,-142.0,-743.0,-115.0,-808.0,30.0,-748.0,377.0,177.0,644.0,803.0,1015.0,1555.0,1106.0,2281.0,1067.0,2526.0,983.0,2900.0,697.0,3063.0,554.0,3146.0,207.0,2954.0,-73.0,2780.0,-85.0,2465.0,0.0,2108.0,-143.0,359.0,-143.0,462.0,-61.0,1300.0,198.0,1585.0,-89.0,2029.0,230.0,2,1,0,1;3;5,0.30651626
-382.0,-145.0,-697.0,-135.0,-881.0,-46.0,-804.0,373.0,186.0,595.0,953.0,1007.0,1713.0,1100.0,2358.0,1061.0,2596.0,989.0,2960.0,800.0,3283.0,707.0,3356.0,243.0,3171.0,-75.0,2962.0,-89.0,2579.0,0.0,2213.0,-108.0,384.0,-128.0,491.0,-65.0,1326.0,192.0,1600.0,-99.0,2073.0,211.0,2,3,0,3;4;5,0.23564592
-373.0,-110.0,-856.0,-108.0,-862.0,62.0,-791.0,366.0,326.0,663.0,983.0,1003.0,1646.0,1089.0,2435.0,1028.0,2533.0,1005.0,3134.0,759.0,3485.0,700.0,3587.0,237.0,3394.0,-54.0,3011.0,-90.0,2638.0,0.0,2241.0,-159.0,553.0,-159.0,530.0,-67.0,1371.0,191.0,1645.0,-109.0,2174.0,200.0,2,4,0,3;4;5,0.2401686
-375.0,-116.0,-806.0,-75.0,-863.0,-28.0,-774.0,388.0,330.0,692.0,985.0,1042.0,1768.0,1123.0,2525.0,1096.0,2848.0,1022.0,3246.0,735.0,3363.0,570.0,3440.0,265.0,3340.0,-45.0,3009.0,-67.0,2636.0,0.0,2262.0,-124.0,378.0,-124.0,528.0,-41.0,1370.0,216.0,1650.0,-85.0,2178.0,233.0,2,1,0,0;4;5,0.31324098
-389.0,-214.0,-795.0,-149.0,-902.0,-68.0,-828.0,334.0,224.0,630.0,967.0,987.0,1769.0,1085.0,2488.0,1046.0,2871.0,935.0,3224.0,689.0,3373.0,557.0,3449.0,108.0,3276.0,-81.0,2990.0,-129.0,2632.0,0.0,2259.0,-183.0,388.0,-183.0,533.0,-85.0,1381.0,161.0,1694.0,-122.0,2184.0,187.0,2,1,0,0;3;5,0.2771884
-388.0,-131.0,-849.0,-86.0,-843.0,262.0,-780.0,391.0,411.0,652.0,1152.0,1035.0,1928.0,1114.0,2623.0,1051.0,2705.0,1030.0,3347.0,752.0,3725.0,715.0,3838.0,213.0,3684.0,-21.0,3200.0,-86.0,2808.0,0.0,2435.0,-143.0,389.0,-143.0,642.0,-50.0,1486.0,199.0,1760.0,-98.0,2303.0,206.0,2,4,1,0;5;7,0.22113124
-386.0,-129.0,-866.0,-79.0,-854.0,102.0,-709.0,463.0,416.0,652.0,1154.0,1031.0,2017.0,1117.0,2648.0,1092.0,3221.0,1001.0,3662.0,673.0,3764.0,556.0,3839.0,192.0,3756.0,-7.0,3212.0,-88.0,2808.0,0.0,2427.0,-109.0,388.0,-124.0,646.0,-52.0,1487.0,199.0,1765.0,-102.0,2305.0,199.0,2,5,1,0;5;7,0.32059842
-386.0,-145.0,-707.0,-127.0,-864.0,-70.0,-782.0,365.0,413.0,638.0,1151.0,1018.0,1885.0,1101.0,2648.0,1045.0,2768.0,1014.0,3382.0,751.0,3788.0,700.0,3900.0,199.0,3721.0,-38.0,3262.0,-96.0,2868.0,0.0,2483.0,-157.0,389.0,-157.0,645.0,-64.0,1490.0,185.0,1770.0,-113.0,2367.0,191.0,2,4,1,0;5;7,0.21300356
-372.0,-177.0,-748.0,-155.0,-860.0,-53.0,-762.0,336.0,463.0,638.0,1155.0,974.0,1696.0,1034.0,2490.0,967.0,2559.0,951.0,3281.0,705.0,3607.0,669.0,3764.0,206.0,3612.0,-73.0,3146.0,-120.0,2752.0,0.0,2374.0,-179.0,371.0,-179.0,638.0,-95.0,1489.0,145.0,1776.0,-141.0,2232.0,143.0,2,6,1,3;4;5,0.23562054
